timestamp,Occupancy,power
00:00:24,1,20.8
00:00:54,1,20.7
00:01:24,1,20.9
00:01:54,1,20.7
00:02:24,1,20.8
00:02:54,1,20.9
00:03:24,1,20.8
00:03:54,1,20.7
00:04:24,1,20.7
00:04:54,1,20.8
00:05:24,1,20.7
00:05:54,1,20.8
00:06:24,1,20.7
00:06:54,1,20.9
00:07:24,1,20.7
00:07:54,1,20.8
00:08:24,1,20.7
00:08:54,1,20.6
00:09:24,1,20.6
00:09:54,1,19.6
00:10:24,1,19.9
00:10:54,1,20
00:11:24,1,20.3
00:11:54,1,20.4
00:12:24,1,20.4
00:12:54,1,20.3
00:13:24,1,20.4
00:13:54,1,20.5
00:14:24,1,20.3
00:14:54,1,20.4
00:15:24,1,20.4
00:15:54,1,20.1
00:16:24,1,20.2
00:16:54,1,20.4
00:17:24,1,20.5
00:17:54,1,21.4
00:18:24,1,21.3
00:18:54,1,20.8
00:19:24,1,20.8
00:19:54,1,21
00:20:24,1,20.7
00:20:54,1,21
00:21:24,1,20.7
00:21:54,1,20.8
00:22:24,1,21
00:22:54,1,20.9
00:23:24,1,20.9
00:23:54,1,20.7
00:24:24,1,20.7
00:24:54,1,19.8
00:25:24,1,20.9
00:25:54,1,20.8
00:26:24,1,21.5
00:26:54,1,21.5
00:27:24,1,21.4
00:27:54,1,21.5
00:28:24,1,21.3
00:28:54,1,20.9
00:29:24,1,20.9
00:29:54,1,20.9
00:30:24,1,20.8
00:30:54,1,20.9
00:31:24,1,20.9
00:31:54,1,21
00:32:24,1,20.8
00:32:54,1,21
00:33:24,1,20.9
00:33:54,1,20.9
00:34:24,1,20.9
00:34:54,1,20.9
00:35:24,1,20.9
00:35:54,1,20.9
00:36:24,1,20.9
00:36:54,1,20.9
00:37:24,1,20.9
00:37:54,1,20.9
00:38:24,1,20.9
00:38:54,1,20.9
00:39:24,1,20.8
00:39:54,1,19.8
00:40:24,1,19.6
00:40:54,1,19.8
00:41:24,1,20.1
